City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Fortuna,US,79.41,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
337,Aguilas,ES,83.21,clear sky,37.4063,-1.5829,Hotel Carlos III
338,Kotido,UG,66.97,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
339,Miyako,JP,62.65,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
340,Roros,NO,58.84,clear sky,62.5747,11.3842,Erzscheidergården
341,Saint Anthony,US,88.18,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
342,Henties Bay,,57.85,clear sky,-22.116,14.2845,Fishermans Guest House
343,Lima,PE,61.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
349,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
351,Luzilandia,BR,83.68,broken clouds,-3.4578,-42.3703,Pousada Pontes
352,Santa Cruz Del Sur,CU,84.34,broken clouds,20.7147,-77.9956,
353,Itaituba,BR,87.96,few clouds,-4.2761,-55.9836,Hotel Campos
354,Kottagudem,IN,84.45,moderate rain,17.55,80.6333,Hotel Surya Palace
357,Kalianget,ID,79.75,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
358,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
359,Republic,US,82.36,overcast clouds,37.12,-93.4802,AmericInn by Wyndham Republic
360,Japura,ID,73.08,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
361,Anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
362,Sampit,ID,74.07,heavy intensity rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
363,Ifakara,TZ,69.64,clear sky,-8.1333,36.6833,Tanzanian Training Centre for International Health
366,Jian,CN,76.15,overcast clouds,27.1172,114.9793,Luling International Hotel
367,Les Cayes,HT,84.76,overcast clouds,18.2,-73.75,Villa Orphee
369,Gorontalo,ID,73.29,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
370,Vila Velha,BR,69.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
371,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
373,Kayes,ML,70.34,overcast clouds,14.0,-11.0,
374,Bucerias,MX,85.98,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
376,Flinders,AU,51.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
377,Svetlaya,RU,51.91,moderate rain,46.5389,138.3297,
378,Tawau,MY,77.13,scattered clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
379,Deogarh,IN,81.91,overcast clouds,21.5333,84.7333,RM Hostel
380,Dryden,CA,79.09,scattered clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
381,Shitkino,RU,52.12,broken clouds,56.3703,98.3543,
383,Kashary,RU,66.15,few clouds,49.04,41.0056,Гостиница N 1
385,Ustye,RU,61.7,overcast clouds,59.6304,39.736,Dacha Sofronova
386,Longkou,CN,70.66,few clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
387,Kantunilkin,MX,82.24,overcast clouds,21.0917,-87.45,Posada Paraiso
388,Guanica,PR,89.98,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
389,Zafra,ES,84.33,clear sky,38.4167,-6.4167,Parador de Zafra
390,Banjar,ID,80.46,few clouds,-8.19,114.9675,The Hamsa Resort
391,Moche,PE,66.38,overcast clouds,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
392,Kaili,ID,66.76,overcast clouds,-3.4626,120.2147,
393,Takefu,JP,73.06,overcast clouds,35.9039,136.1669,Hotel CrownHills Takefu
394,Dutlwe,BW,61.72,clear sky,-23.9833,23.9,
395,Cuenca,EC,62.73,light rain,-2.8833,-78.9833,Hotel Cuenca
396,Hami,CN,80.2,overcast clouds,42.8,93.45,Laoyutang Resort
397,Dunmore Town,BS,81.05,overcast clouds,25.5,-76.65,Coral Sands Hotel
398,Sadat,IN,87.42,overcast clouds,25.6833,83.2833,Tuntun Niwas
